codeenseignant,codefiliere,codemodule,codeeltmodule,codeclasse,typecours,vhglobal
EnsGI002,LPGLAASRI,M01,M01A,LPGLAASRI,CM,15
EnsGI002,LPGLAASRI,M01,M01A,LPGLAASRI,TD,6
EnsGI002,LPGLAASRI,M01,M01A,LPGLAASRI,EC,3
EnsGI008,LPGLAASRI,M01,M01B,LPGLAASRI,CM,12
EnsGI008,LPGLAASRI,M01,M01B,LPGLAASRI,TD,9
EnsGI008,LPGLAASRI,M01,M01B,LPGLAASRI,EC,3
EnsGI006,LPGLAASRI,M02,M02A,LPGLAASRI,CM,12
EnsGI006,LPGLAASRI,M02,M02A,LPGLAASRI,TD,8
EnsGI002,LPGLAASRI,M02,M02A,LPGLAASRI,TP,12
EnsGI006,LPGLAASRI,M02,M02A,LPGLAASRI,EC,3
EnsGI008,LPGLAASRI,M02,M02B,LPGLAASRI,CM,7.5
EnsGI008,LPGLAASRI,M02,M02B,LPGLAASRI,TD,3
EnsGI008,LPGLAASRI,M02,M02B,LPGLAASRI,TP,3
EnsGI008,LPGLAASRI,M02,M02B,LPGLAASRI,EC,1.5
EnsGI006,LPGLAASRI,M03,M03A,LPGLAASRI,CM,12
EnsGI006,LPGLAASRI,M03,M03A,LPGLAASRI,TD,8
EnsGI006,LPGLAASRI,M03,M03A,LPGLAASRI,TP,12
EnsGI006,LPGLAASRI,M03,M03A,LPGLAASRI,EC,3
EnsGI010,LPGLAASRI,M03,M03B,LPGLAASRI,CM,6
EnsGI010,LPGLAASRI,M03,M03B,LPGLAASRI,TD,3
EnsGI010,LPGLAASRI,M03,M03B,LPGLAASRI,TP,4.5
EnsGI010,LPGLAASRI,M03,M03B,LPGLAASRI,EC,1.5
EnsGI007,LPGLAASRI,M04,M04A,LPGLAASRI,CM,9
EnsGI007,LPGLAASRI,M04,M04A,LPGLAASRI,TD,6
EnsGI007,LPGLAASRI,M04,M04A,LPGLAASRI,TP,6
EnsGI007,LPGLAASRI,M04,M04A,LPGLAASRI,EC,3
EnsGI007,LPGLAASRI,M04,M04B,LPGLAASRI,CM,9
EnsGI007,LPGLAASRI,M04,M04B,LPGLAASRI,TD,6
EnsGI007,LPGLAASRI,M04,M04B,LPGLAASRI,TP,6
EnsGI007,LPGLAASRI,M04,M04B,LPGLAASRI,EC,3
