numinscription,codefiliere,codemodule,codeeltmodule,numsession,note
EtudLPGLAASRI001,LPGLAASRI,M01,M01A,1,9.64
EtudLPGLAASRI001,LPGLAASRI,M01,M01B,1,16.15
EtudLPGLAASRI001,LPGLAASRI,M02,M02A,1,15.09
EtudLPGLAASRI001,LPGLAASRI,M02,M02B,1,15.22
EtudLPGLAASRI001,LPGLAASRI,M03,M03A,1,5.28
EtudLPGLAASRI001,LPGLAASRI,M03,M03B,1,1.66
EtudLPGLAASRI001,LPGLAASRI,M04,M04A,1,6.66
EtudLPGLAASRI001,LPGLAASRI,M04,M04B,1,2.29
EtudLPGLAASRI001,LPGLAASRI,M05,M05A,1,19.46
EtudLPGLAASRI001,LPGLAASRI,M05,M05B,1,17.24
EtudLPGLAASRI001,LPGLAASRI,M06,M06A,1,7.85
EtudLPGLAASRI001,LPGLAASRI,M06,M06B,1,2.92
EtudLPGLAASRI001,LPGLAASRI,M07,M07A,1,8.04
EtudLPGLAASRI001,LPGLAASRI,M07,M07B,1,20
EtudLPGLAASRI001,LPGLAASRI,M08,M08A,1,7.79
EtudLPGLAASRI001,LPGLAASRI,M08,M08B,1,15.41
EtudLPGLAASRI001,LPGLAASRI,M09,M09A,1,13.62
EtudLPGLAASRI001,LPGLAASRI,M09,M09B,1,12.22
EtudLPGLAASRI001,LPGLAASRI,M10-11-12,M10A,1,7.02
EtudLPGLAASRI001,LPGLAASRI,M10-11-12,M10B,1,16.53
EtudLPGLAASRI001,LPGLAASRI,M10-11-12,M10C,1,18.09
EtudLPGLAASRI002,LPGLAASRI,M01,M01A,1,8.26
EtudLPGLAASRI002,LPGLAASRI,M01,M01B,1,6.15
EtudLPGLAASRI002,LPGLAASRI,M02,M02A,1,3.29
EtudLPGLAASRI002,LPGLAASRI,M02,M02B,1,8.16
EtudLPGLAASRI002,LPGLAASRI,M03,M03A,1,19.28
EtudLPGLAASRI002,LPGLAASRI,M03,M03B,1,3.64
EtudLPGLAASRI002,LPGLAASRI,M04,M04A,1,2.49
EtudLPGLAASRI002,LPGLAASRI,M04,M04B,1,19.39
EtudLPGLAASRI002,LPGLAASRI,M05,M05A,1,6.21
EtudLPGLAASRI002,LPGLAASRI,M05,M05B,1,8.23
EtudLPGLAASRI002,LPGLAASRI,M06,M06A,1,9.74
EtudLPGLAASRI002,LPGLAASRI,M06,M06B,1,4.04
EtudLPGLAASRI002,LPGLAASRI,M07,M07A,1,3.26
EtudLPGLAASRI002,LPGLAASRI,M07,M07B,1,14.05
EtudLPGLAASRI002,LPGLAASRI,M08,M08A,1,7.95
EtudLPGLAASRI002,LPGLAASRI,M08,M08B,1,18.77
EtudLPGLAASRI002,LPGLAASRI,M09,M09A,1,1.71
EtudLPGLAASRI002,LPGLAASRI,M09,M09B,1,8.99
EtudLPGLAASRI002,LPGLAASRI,M10-11-12,M10A,1,17.12
EtudLPGLAASRI002,LPGLAASRI,M10-11-12,M10B,1,17.13
EtudLPGLAASRI002,LPGLAASRI,M10-11-12,M10C,1,14.6
EtudLPGLAASRI003,LPGLAASRI,M01,M01A,1,4.89
EtudLPGLAASRI003,LPGLAASRI,M01,M01B,1,18.65
EtudLPGLAASRI003,LPGLAASRI,M02,M02A,1,15.69
EtudLPGLAASRI003,LPGLAASRI,M02,M02B,1,12.91
EtudLPGLAASRI003,LPGLAASRI,M03,M03A,1,3.57
EtudLPGLAASRI003,LPGLAASRI,M03,M03B,1,13.22
EtudLPGLAASRI003,LPGLAASRI,M04,M04A,1,6.78
EtudLPGLAASRI003,LPGLAASRI,M04,M04B,1,17.26
EtudLPGLAASRI003,LPGLAASRI,M05,M05A,1,3.53
EtudLPGLAASRI003,LPGLAASRI,M05,M05B,1,7.85
EtudLPGLAASRI003,LPGLAASRI,M06,M06A,1,1.22
EtudLPGLAASRI003,LPGLAASRI,M06,M06B,1,7.39
EtudLPGLAASRI003,LPGLAASRI,M07,M07A,1,13.82
EtudLPGLAASRI003,LPGLAASRI,M07,M07B,1,10.4
EtudLPGLAASRI003,LPGLAASRI,M08,M08A,1,2.9
EtudLPGLAASRI003,LPGLAASRI,M08,M08B,1,13.64
EtudLPGLAASRI003,LPGLAASRI,M09,M09A,1,15.01
EtudLPGLAASRI003,LPGLAASRI,M09,M09B,1,16.21
EtudLPGLAASRI003,LPGLAASRI,M10-11-12,M10A,1,19.08
EtudLPGLAASRI003,LPGLAASRI,M10-11-12,M10B,1,8.46
EtudLPGLAASRI003,LPGLAASRI,M10-11-12,M10C,1,11.14
EtudLPGLAASRI004,LPGLAASRI,M01,M01A,1,17.04
EtudLPGLAASRI004,LPGLAASRI,M01,M01B,1,14.85
EtudLPGLAASRI004,LPGLAASRI,M02,M02A,1,15.87
EtudLPGLAASRI004,LPGLAASRI,M02,M02B,1,15.06
EtudLPGLAASRI004,LPGLAASRI,M03,M03A,1,5.15
EtudLPGLAASRI004,LPGLAASRI,M03,M03B,1,11.92
EtudLPGLAASRI004,LPGLAASRI,M04,M04A,1,15.84
EtudLPGLAASRI004,LPGLAASRI,M04,M04B,1,13.96
EtudLPGLAASRI004,LPGLAASRI,M05,M05A,1,12.14
EtudLPGLAASRI004,LPGLAASRI,M05,M05B,1,6.63
EtudLPGLAASRI004,LPGLAASRI,M06,M06A,1,9.71
EtudLPGLAASRI004,LPGLAASRI,M06,M06B,1,0.23
EtudLPGLAASRI004,LPGLAASRI,M07,M07A,1,10.72
EtudLPGLAASRI004,LPGLAASRI,M07,M07B,1,13.46
EtudLPGLAASRI004,LPGLAASRI,M08,M08A,1,9.98
EtudLPGLAASRI004,LPGLAASRI,M08,M08B,1,9.29
EtudLPGLAASRI004,LPGLAASRI,M09,M09A,1,15.94
EtudLPGLAASRI004,LPGLAASRI,M09,M09B,1,2.56
EtudLPGLAASRI004,LPGLAASRI,M10-11-12,M10A,1,9.69
EtudLPGLAASRI004,LPGLAASRI,M10-11-12,M10B,1,10.7
EtudLPGLAASRI004,LPGLAASRI,M10-11-12,M10C,1,9.22
EtudLPGLAASRI005,LPGLAASRI,M01,M01A,1,13.35
EtudLPGLAASRI005,LPGLAASRI,M01,M01B,1,17.08
EtudLPGLAASRI005,LPGLAASRI,M02,M02A,1,11.17
EtudLPGLAASRI005,LPGLAASRI,M02,M02B,1,1.49
EtudLPGLAASRI005,LPGLAASRI,M03,M03A,1,4.94
EtudLPGLAASRI005,LPGLAASRI,M03,M03B,1,12.47
EtudLPGLAASRI005,LPGLAASRI,M04,M04A,1,19.34
EtudLPGLAASRI005,LPGLAASRI,M04,M04B,1,11.05
EtudLPGLAASRI005,LPGLAASRI,M05,M05A,1,15.79
EtudLPGLAASRI005,LPGLAASRI,M05,M05B,1,5.36
EtudLPGLAASRI005,LPGLAASRI,M06,M06A,1,5.64
EtudLPGLAASRI005,LPGLAASRI,M06,M06B,1,15.45
EtudLPGLAASRI005,LPGLAASRI,M07,M07A,1,1.18
EtudLPGLAASRI005,LPGLAASRI,M07,M07B,1,19.06
EtudLPGLAASRI005,LPGLAASRI,M08,M08A,1,1.12
EtudLPGLAASRI005,LPGLAASRI,M08,M08B,1,5.21
EtudLPGLAASRI005,LPGLAASRI,M09,M09A,1,15.18
EtudLPGLAASRI005,LPGLAASRI,M09,M09B,1,2.32
EtudLPGLAASRI005,LPGLAASRI,M10-11-12,M10A,1,2
EtudLPGLAASRI005,LPGLAASRI,M10-11-12,M10B,1,9.71
EtudLPGLAASRI005,LPGLAASRI,M10-11-12,M10C,1,11.54
EtudGI1001,GI,M01,M01B,1,4.26
EtudLPGLAASRI006,LPGLAASRI,M01,M01A,1,15.85
EtudLPGLAASRI006,LPGLAASRI,M01,M01B,1,1.38
EtudLPGLAASRI006,LPGLAASRI,M02,M02A,1,3.08
EtudLPGLAASRI006,LPGLAASRI,M02,M02B,1,2.46
EtudLPGLAASRI006,LPGLAASRI,M03,M03A,1,7.24
EtudLPGLAASRI006,LPGLAASRI,M03,M03B,1,13.05
EtudLPGLAASRI006,LPGLAASRI,M04,M04A,1,9.7
EtudLPGLAASRI006,LPGLAASRI,M04,M04B,1,0.74
EtudLPGLAASRI006,LPGLAASRI,M05,M05A,1,19.68
EtudLPGLAASRI006,LPGLAASRI,M05,M05B,1,8.13
EtudLPGLAASRI006,LPGLAASRI,M06,M06A,1,17.35
EtudLPGLAASRI006,LPGLAASRI,M06,M06B,1,14.34
EtudLPGLAASRI006,LPGLAASRI,M07,M07A,1,3.66
EtudLPGLAASRI006,LPGLAASRI,M07,M07B,1,3.12
EtudLPGLAASRI006,LPGLAASRI,M08,M08A,1,0.43
EtudLPGLAASRI006,LPGLAASRI,M08,M08B,1,6.7
EtudLPGLAASRI006,LPGLAASRI,M09,M09A,1,2.51
EtudLPGLAASRI006,LPGLAASRI,M09,M09B,1,4.34
EtudLPGLAASRI006,LPGLAASRI,M10-11-12,M10A,1,19.53
EtudLPGLAASRI006,LPGLAASRI,M10-11-12,M10B,1,4.44
EtudLPGLAASRI006,LPGLAASRI,M10-11-12,M10C,1,12.44
EtudLPGLAASRI007,LPGLAASRI,M01,M01A,1,12.33
EtudLPGLAASRI007,LPGLAASRI,M01,M01B,1,16.22
EtudLPGLAASRI007,LPGLAASRI,M02,M02A,1,7.84
EtudLPGLAASRI007,LPGLAASRI,M02,M02B,1,17.7
EtudLPGLAASRI007,LPGLAASRI,M03,M03A,1,8.98
EtudLPGLAASRI007,LPGLAASRI,M03,M03B,1,7.84
EtudLPGLAASRI007,LPGLAASRI,M04,M04A,1,9.81
EtudLPGLAASRI007,LPGLAASRI,M04,M04B,1,7.64
EtudLPGLAASRI007,LPGLAASRI,M05,M05A,1,7.49
EtudLPGLAASRI007,LPGLAASRI,M05,M05B,1,16.84
EtudLPGLAASRI007,LPGLAASRI,M06,M06A,1,17.01
EtudLPGLAASRI007,LPGLAASRI,M06,M06B,1,11.85
EtudLPGLAASRI007,LPGLAASRI,M07,M07A,1,12.65
EtudLPGLAASRI007,LPGLAASRI,M07,M07B,1,6.09
EtudLPGLAASRI007,LPGLAASRI,M08,M08A,1,9.59
EtudLPGLAASRI007,LPGLAASRI,M08,M08B,1,4.71
EtudLPGLAASRI007,LPGLAASRI,M09,M09A,1,6.02
EtudLPGLAASRI007,LPGLAASRI,M09,M09B,1,19.01
EtudLPGLAASRI007,LPGLAASRI,M10-11-12,M10A,1,14.13
EtudLPGLAASRI007,LPGLAASRI,M10-11-12,M10B,1,3.5
EtudLPGLAASRI007,LPGLAASRI,M10-11-12,M10C,1,12.77
EtudLPGLAASRI008,LPGLAASRI,M01,M01A,1,3.93
EtudLPGLAASRI008,LPGLAASRI,M01,M01B,1,3.29
EtudLPGLAASRI008,LPGLAASRI,M02,M02A,1,3.12
EtudLPGLAASRI008,LPGLAASRI,M02,M02B,1,7.9
EtudLPGLAASRI008,LPGLAASRI,M03,M03A,1,9.76
EtudLPGLAASRI008,LPGLAASRI,M03,M03B,1,12.65
EtudLPGLAASRI008,LPGLAASRI,M04,M04A,1,3.29
EtudLPGLAASRI008,LPGLAASRI,M04,M04B,1,16.39
EtudLPGLAASRI008,LPGLAASRI,M05,M05A,1,18.78
EtudLPGLAASRI008,LPGLAASRI,M05,M05B,1,15.62
EtudLPGLAASRI008,LPGLAASRI,M06,M06A,1,4.27
EtudLPGLAASRI008,LPGLAASRI,M06,M06B,1,12.11
EtudLPGLAASRI008,LPGLAASRI,M07,M07A,1,16.3
EtudLPGLAASRI008,LPGLAASRI,M07,M07B,1,15.38
EtudLPGLAASRI008,LPGLAASRI,M08,M08A,1,18.81
EtudLPGLAASRI008,LPGLAASRI,M08,M08B,1,4.42
EtudLPGLAASRI008,LPGLAASRI,M09,M09A,1,10.68
EtudLPGLAASRI008,LPGLAASRI,M09,M09B,1,1.7
EtudLPGLAASRI008,LPGLAASRI,M10-11-12,M10A,1,9.42
EtudLPGLAASRI008,LPGLAASRI,M10-11-12,M10B,1,9.58
EtudLPGLAASRI008,LPGLAASRI,M10-11-12,M10C,1,5.31
EtudLPGLAASRI009,LPGLAASRI,M01,M01A,1,14.3
EtudLPGLAASRI009,LPGLAASRI,M01,M01B,1,11.99
EtudLPGLAASRI009,LPGLAASRI,M02,M02A,1,0.09
EtudLPGLAASRI009,LPGLAASRI,M02,M02B,1,12.77
EtudLPGLAASRI009,LPGLAASRI,M03,M03A,1,2.39
EtudLPGLAASRI009,LPGLAASRI,M03,M03B,1,12.16
EtudLPGLAASRI009,LPGLAASRI,M04,M04A,1,12.12
EtudLPGLAASRI009,LPGLAASRI,M04,M04B,1,14.17
EtudLPGLAASRI009,LPGLAASRI,M05,M05A,1,5.68
EtudLPGLAASRI009,LPGLAASRI,M05,M05B,1,16.52
EtudLPGLAASRI009,LPGLAASRI,M06,M06A,1,16.57
EtudLPGLAASRI009,LPGLAASRI,M06,M06B,1,12.03
EtudLPGLAASRI009,LPGLAASRI,M07,M07A,1,2.51
EtudLPGLAASRI009,LPGLAASRI,M07,M07B,1,15.27
EtudLPGLAASRI009,LPGLAASRI,M08,M08A,1,18.46
EtudLPGLAASRI009,LPGLAASRI,M08,M08B,1,16.15
EtudLPGLAASRI009,LPGLAASRI,M09,M09A,1,7.2
EtudLPGLAASRI009,LPGLAASRI,M09,M09B,1,18.9
EtudLPGLAASRI009,LPGLAASRI,M10-11-12,M10A,1,14.05
EtudLPGLAASRI009,LPGLAASRI,M10-11-12,M10B,1,7.68
EtudLPGLAASRI009,LPGLAASRI,M10-11-12,M10C,1,16.83
EtudLPGLAASRI010,LPGLAASRI,M01,M01A,1,2.72
EtudLPGLAASRI010,LPGLAASRI,M01,M01B,1,12.51
EtudLPGLAASRI010,LPGLAASRI,M02,M02A,1,12.48
EtudLPGLAASRI010,LPGLAASRI,M02,M02B,1,16.79
EtudLPGLAASRI010,LPGLAASRI,M03,M03A,1,17.64
EtudLPGLAASRI010,LPGLAASRI,M03,M03B,1,14.75
EtudLPGLAASRI010,LPGLAASRI,M04,M04A,1,7.86
EtudLPGLAASRI010,LPGLAASRI,M04,M04B,1,8.01
EtudLPGLAASRI010,LPGLAASRI,M05,M05A,1,4.31
EtudLPGLAASRI010,LPGLAASRI,M05,M05B,1,16.73
EtudLPGLAASRI010,LPGLAASRI,M06,M06A,1,4.92
EtudLPGLAASRI010,LPGLAASRI,M06,M06B,1,4.41
EtudLPGLAASRI010,LPGLAASRI,M07,M07A,1,2.07
EtudLPGLAASRI010,LPGLAASRI,M07,M07B,1,6.05
EtudLPGLAASRI010,LPGLAASRI,M08,M08A,1,19.38
EtudLPGLAASRI010,LPGLAASRI,M08,M08B,1,9.2
EtudLPGLAASRI010,LPGLAASRI,M09,M09A,1,2.35
EtudLPGLAASRI010,LPGLAASRI,M09,M09B,1,3.59
EtudLPGLAASRI010,LPGLAASRI,M10-11-12,M10A,1,14.45
EtudLPGLAASRI010,LPGLAASRI,M10-11-12,M10B,1,17.22
EtudLPGLAASRI010,LPGLAASRI,M10-11-12,M10C,1,14.97
EtudGI1001,GI,M01,M01A,1,14.43
EtudLPGLAASRI011,LPGLAASRI,M01,M01A,1,6.36
EtudLPGLAASRI011,LPGLAASRI,M01,M01B,1,19.37
EtudLPGLAASRI011,LPGLAASRI,M02,M02A,1,19.37
EtudLPGLAASRI011,LPGLAASRI,M02,M02B,1,7.95
EtudLPGLAASRI011,LPGLAASRI,M03,M03A,1,2.43
EtudLPGLAASRI011,LPGLAASRI,M03,M03B,1,13.99
EtudLPGLAASRI011,LPGLAASRI,M04,M04A,1,6.64
EtudLPGLAASRI011,LPGLAASRI,M04,M04B,1,1.11
EtudLPGLAASRI011,LPGLAASRI,M05,M05A,1,16.32
EtudLPGLAASRI011,LPGLAASRI,M05,M05B,1,13.49
EtudLPGLAASRI011,LPGLAASRI,M06,M06A,1,4.11
EtudLPGLAASRI011,LPGLAASRI,M06,M06B,1,17.76
EtudLPGLAASRI011,LPGLAASRI,M07,M07A,1,5.12
EtudLPGLAASRI011,LPGLAASRI,M07,M07B,1,16.08
EtudLPGLAASRI011,LPGLAASRI,M08,M08A,1,10.85
EtudLPGLAASRI011,LPGLAASRI,M08,M08B,1,17.68
EtudLPGLAASRI011,LPGLAASRI,M09,M09A,1,8.59
EtudLPGLAASRI011,LPGLAASRI,M09,M09B,1,0.6
EtudLPGLAASRI011,LPGLAASRI,M10-11-12,M10A,1,6.72
EtudLPGLAASRI011,LPGLAASRI,M10-11-12,M10B,1,11.05
EtudLPGLAASRI011,LPGLAASRI,M10-11-12,M10C,1,14.57
EtudLPGLAASRI012,LPGLAASRI,M01,M01A,1,19.97
EtudLPGLAASRI012,LPGLAASRI,M01,M01B,1,10.91
EtudLPGLAASRI012,LPGLAASRI,M02,M02A,1,11.96
EtudLPGLAASRI012,LPGLAASRI,M02,M02B,1,3.66
EtudLPGLAASRI012,LPGLAASRI,M03,M03A,1,0.54
EtudLPGLAASRI012,LPGLAASRI,M03,M03B,1,14.77
EtudLPGLAASRI012,LPGLAASRI,M04,M04A,1,1.9
EtudLPGLAASRI012,LPGLAASRI,M04,M04B,1,12.66
EtudLPGLAASRI012,LPGLAASRI,M05,M05A,1,16.92
EtudLPGLAASRI012,LPGLAASRI,M05,M05B,1,19.91
EtudLPGLAASRI012,LPGLAASRI,M06,M06A,1,16.62
EtudLPGLAASRI012,LPGLAASRI,M06,M06B,1,16.02
EtudLPGLAASRI012,LPGLAASRI,M07,M07A,1,18.58
EtudLPGLAASRI012,LPGLAASRI,M07,M07B,1,16.03
EtudLPGLAASRI012,LPGLAASRI,M08,M08A,1,1.39
EtudLPGLAASRI012,LPGLAASRI,M08,M08B,1,10.56
EtudLPGLAASRI012,LPGLAASRI,M09,M09A,1,17.26
EtudLPGLAASRI012,LPGLAASRI,M09,M09B,1,5.27
EtudLPGLAASRI012,LPGLAASRI,M10-11-12,M10A,1,13.68
EtudLPGLAASRI012,LPGLAASRI,M10-11-12,M10B,1,15.68
EtudLPGLAASRI012,LPGLAASRI,M10-11-12,M10C,1,17.92
EtudLPGLAASRI013,LPGLAASRI,M01,M01A,1,14.11
EtudLPGLAASRI013,LPGLAASRI,M01,M01B,1,10.84
EtudLPGLAASRI013,LPGLAASRI,M02,M02A,1,3.93
EtudLPGLAASRI013,LPGLAASRI,M02,M02B,1,18.4
EtudLPGLAASRI013,LPGLAASRI,M03,M03A,1,2.05
EtudLPGLAASRI013,LPGLAASRI,M03,M03B,1,14.43
EtudLPGLAASRI013,LPGLAASRI,M04,M04A,1,12.91
EtudLPGLAASRI013,LPGLAASRI,M04,M04B,1,9.63
EtudLPGLAASRI013,LPGLAASRI,M05,M05A,1,19.06
EtudLPGLAASRI013,LPGLAASRI,M05,M05B,1,18.52
EtudLPGLAASRI013,LPGLAASRI,M06,M06A,1,7.44
